# LOD divergence curve — how fast two tiers of the same scenario come apart.
# The rate is the reading. Flatness is NOT the target: a coarser decision cadence
# genuinely changes behaviour, and this measures what that costs. A gate built on this
# file asserts the curve has not worsened beyond a stated tolerance, never that it is flat.
# 'state' (count/hunger/age) is the reading; 'position' (centroid/dispersion) is diagnostic.
# pair=fidelity scenario=predator_prey ticks=3000 sample=5 quantum=16
# a_tier=Full a_seed=42 b_tier=Minimal b_seed=42
# onset_tick=5 onset=3 species differ (Deer, Rabbit, Wolf); largest component centroid=0.064884
# divergence_final=0.178047 divergence_mean=0.179744 state_mean=0.066434 position_mean=0.463019 samples=601
# window_growth=0..300 n=61 divergence=0.081780 state=0.016035 position=0.246141
# window_plateau=1800..3000 n=241 divergence=0.208723 state=0.090226 position=0.504965
# component_count kind=State mean=0.099558 growth=0.000000 plateau=0.155133
# component_hunger_mean kind=State mean=0.200543 growth=0.065784 plateau=0.260275
# component_hunger_spread kind=State mean=0.025148 growth=0.013864 plateau=0.023950
# component_age_mean kind=State mean=0.005142 growth=0.000460 plateau=0.008488
# component_age_spread kind=State mean=0.001778 growth=0.000070 plateau=0.003285
# component_centroid kind=Position mean=0.604862 growth=0.325885 plateau=0.643316
# component_dispersion kind=Position mean=0.321175 growth=0.166396 plateau=0.366613
# ceiling_plateau divergence=0.190178 state=0.080610 position=0.464099
# ceiling_fraction divergence=1.0975 state=1.1193 position=1.0881
sample_tick,divergence,state,position,count,hunger_mean,hunger_spread,age_mean,age_spread,centroid,dispersion,species_compared,checksums_differ,population_a,population_b
710,0.170777,0.041012,0.495190,0.041667,0.144965,0.013151,0.003776,0.001499,0.546584,0.443797,3,1,48,47
715,0.170364,0.040942,0.493920,0.041667,0.145175,0.012707,0.003692,0.001471,0.545931,0.441908,3,1,48,47
720,0.168635,0.041615,0.486186,0.041667,0.146876,0.014399,0.003631,0.001501,0.532807,0.439564,3,1,48,47
725,0.161103,0.030220,0.488312,0.000000,0.138511,0.011864,0.000521,0.000203,0.545943,0.430680,3,1,48,48
730,0.160635,0.030090,0.486998,0.000000,0.138723,0.011125,0.000484,0.000116,0.545548,0.428449,3,1,48,48
735,0.160243,0.030005,0.485839,0.000000,0.138656,0.010742,0.000541,0.000087,0.545094,0.426584,3,1,48,48
740,0.160581,0.030456,0.485892,0.000000,0.139849,0.011693,0.000623,0.000115,0.544855,0.426929,3,1,48,48
745,0.159184,0.030321,0.481342,0.000000,0.139552,0.011278,0.000544,0.000233,0.536627,0.426057,3,1,48,48
750,0.157444,0.030124,0.475746,0.000000,0.139419,0.010602,0.000484,0.000116,0.527459,0.424033,3,1,48,48
755,0.156264,0.030166,0.471510,0.000000,0.139979,0.010221,0.000541,0.000087,0.522886,0.420133,3,1,48,48
760,0.155404,0.030576,0.467476,0.000000,0.141639,0.010502,0.000623,0.000115,0.519055,0.415896,3,1,48,48
765,0.155441,0.030644,0.467432,0.000000,0.141323,0.011121,0.000544,0.000233,0.517364,0.417501,3,1,48,48
770,0.156007,0.030645,0.469412,0.000000,0.141978,0.010647,0.000484,0.000116,0.519960,0.418865,3,1,48,48
775,0.156373,0.030637,0.470714,0.000000,0.141809,0.010748,0.000541,0.000087,0.521226,0.420201,3,1,48,48
780,0.156644,0.030731,0.471427,0.000000,0.142759,0.010158,0.000622,0.000115,0.521849,0.421005,3,1,48,48
785,0.157373,0.030888,0.473586,0.000000,0.143610,0.010052,0.000544,0.000233,0.524756,0.422417,3,1,48,48
790,0.158759,0.030815,0.478620,0.000000,0.143873,0.009605,0.000484,0.000115,0.530931,0.426309,3,1,48,48
795,0.160529,0.030978,0.484407,0.000000,0.145135,0.009128,0.000541,0.000087,0.538451,0.430363,3,1,48,48
800,0.162223,0.030990,0.490305,0.000000,0.145422,0.008792,0.000622,0.000115,0.546606,0.434004,3,1,48,48
805,0.162915,0.031218,0.492158,0.000000,0.146368,0.008947,0.000544,0.000233,0.546651,0.437665,3,1,48,48
810,0.169757,0.036271,0.503471,0.020833,0.150080,0.007545,0.002035,0.000861,0.584505,0.422437,3,1,47,48
815,0.170646,0.037073,0.504581,0.020833,0.151960,0.009585,0.002094,0.000891,0.584555,0.424606,3,1,47,48
820,0.170674,0.036976,0.504919,0.020833,0.151790,0.009221,0.002176,0.000858,0.584459,0.425379,3,1,47,48
825,0.170586,0.037005,0.504536,0.020833,0.152025,0.009111,0.002099,0.000958,0.583969,0.425103,3,1,47,48
830,0.170102,0.036810,0.503330,0.020833,0.151729,0.008583,0.002040,0.000865,0.583821,0.422839,3,1,47,48
835,0.169738,0.036702,0.502328,0.020833,0.151658,0.008024,0.002099,0.000895,0.583699,0.420956,3,1,47,48
840,0.169645,0.036661,0.502105,0.020833,0.152046,0.007384,0.002181,0.000862,0.583540,0.420670,3,1,47,48
845,0.170001,0.036778,0.503056,0.020833,0.152502,0.007490,0.002104,0.000962,0.583272,0.422840,3,1,47,48
850,0.170121,0.036555,0.504036,0.020833,0.151979,0.007048,0.002046,0.000870,0.582931,0.425141,3,1,47,48
855,0.170079,0.036461,0.504126,0.020833,0.151651,0.006815,0.002104,0.000900,0.582117,0.426135,3,1,47,48
860,0.170468,0.037018,0.504095,0.020833,0.152632,0.008571,0.002187,0.000867,0.581566,0.426624,3,1,47,48
865,0.170545,0.037047,0.504292,0.020833,0.153210,0.008115,0.002109,0.000966,0.581368,0.427216,3,1,47,48
870,0.170524,0.037102,0.504079,0.020833,0.154116,0.007634,0.002051,0.000874,0.581200,0.426957,3,1,47,48
875,0.170341,0.037055,0.503555,0.020833,0.154177,0.007254,0.002110,0.000903,0.580824,0.426286,3,1,47,48
880,0.170581,0.037529,0.503208,0.020833,0.155384,0.008368,0.002192,0.000870,0.580048,0.426368,3,1,47,48
885,0.170462,0.037476,0.502927,0.020833,0.155928,0.007535,0.002114,0.000970,0.580142,0.425712,3,1,47,48
890,0.170266,0.037222,0.502875,0.020833,0.155671,0.006674,0.002056,0.000878,0.580375,0.425375,3,1,47,48
895,0.170255,0.037212,0.502861,0.020833,0.156026,0.006179,0.002114,0.000907,0.580525,0.425196,3,1,47,48
900,0.170330,0.037388,0.502683,0.020833,0.155379,0.007658,0.002197,0.000875,0.580370,0.424995,3,1,47,48
